A000,_Open
A972,_GetMouse
A973,_StillDown
A974,_Button
A975,_TickCount
A976,_GetKeys
A977,_WaitMouseUp
A978,_UpdtDialog
A979,_CouldDialog
A97A,_FreeDialog
A97B,_InitDialogs
A97C,_GetNewDialog
A97D,_NewDialog
A97E,_SelIText
A97F,_IsDialogEvent
A980,_DialogSelect
A981,_DrawDialog
A982,_CloseDialog
A983,_DisposDialog
A984,_FindDItem
A985,_Alert
A986,_StopAlert
A987,_NoteAlert
A988,_CautionAlert
A989,_CouldAlert
A98A,_FreeAlert
A98B,_ParamText
A98C,_ErrorSound
A98D,_GetDItem
A98E,_SetDItem
A98F,_SetIText
A990,_GetIText
A991,_ModalDialog
A992,_DetachResource
A993,_SetResPurge
A994,_CurResFile
A995,_InitResources
A996,_RsrcZoneInit
A997,_OpenResFile
A998,_UseResFile
A999,_UpdateResFile
A99A,_CloseResFile
A99B,_SetResLoad
A99C,_CountResources
A99D,_GetIndResource
A99E,_CountTypes
A99F,_GetIndType
A9A0,_GetResource
A9A1,_GetNamedResource
A9A2,_LoadResource
A9A3,_ReleaseResource
A9A4,_HomeResFile
A9A5,_SizeRsrc
A9A6,_GetResAttrs
A9A7,_SetResAttrs
A9A8,_GetResInfo
A9A9,_SetResInfo
A9AA,_ChangedResource
A9AB,_AddResource
A9AC,_AddReference
A9AD,_RmveResource
A9AE,_RmveReference
A9AF,_ResError
A9B0,_WriteResource
A9B1,_CreateResFile
A9B2,_SystemEvent
A9B3,_SystemClick
A9B4,_SystemTask
A9B5,_SystemMenu
A9B6,_OpenDeskAcc
A9B7,_CloseDeskAcc
A9B8,_GetPattern
A9B9,_GetCursor
A9BA,_GetString
A9BB,_GetIcon
A9BC,_GetPicture
A9BD,_GetNewWindow
A9BE,_GetNewControl
A9BF,_GetRMenu
A9C0,_GetNewMBar
A9C1,_UniqueID
A9C2,_SysEdit
A9C3,_KeyTrans
A9C4,_OpenRFPerm
A9C5,_RsrcMapEntry
A9C6,_Secs2Date
A9C7,_Date2Sec
A9C8,_SysBeep
A9C9,_SysError
A9CB,_TEGetText
A9CC,_TEInit
A9CD,_TEDispose
A9CE,_TextBox
A9CF,_TESetText
A9D0,_TECalText
A9D1,_TESetSelect
A9D2,_TENew
A9D3,_TEUpdate
A9D4,_TEClick
A9D5,_TECopy
A9D6,_TECut
A9D7,_TEDelete
A9D8,_TEActivate
A9D9,_TEDeactivate
A9DA,_TEIdle
A9DB,_TEPaste
A9DC,_TEKey
A9DD,_TEScroll
A9DE,_TEInsert
A9DF,_TESetJust
A9E0,_Munger
A9E1,_HandToHand
A9E2,_PtrToXHand
A9E3,_PtrToHand
A9E4,_HandAndHand
A9E5,_InitPack
A9E6,_InitAllPacks
A9E7,_Pack0
A9E8,_Pack1
A9E9,_Pack2
A9EA,_Pack3
A9EB,_Pack4
A9EC,_Pack5
A9ED,_Pack6
A9EE,_Pack7
A9EF,_PtrAndHand
A9F0,_LoadSeg
A9F1,_UnloadSeg
A9F2,_Launch
A9F3,_Chain
A9F4,_ExitToShell
A9F5,_GetAppParms
A9F6,_GetResFileAttrs
A9F7,_SetResFileAttrs
A9F9,_InfoScrap
A9FA,_UnlodeScrap
A9FB,_LodeScrap
A9FC,_ZeroScrap
A9FD,_GetScrap
A9FE,_PutScrap
